timezone,crop_name,project_name,variety,sensor_id,sensor_type,date,mds,growth,minimum,maximum
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-07-27,25.0,40.0,5060.0,5100.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-07-28,15.0,60.0,5100.0,5160.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-07-29,10.0,70.0,5160.0,5230.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-07-30,5.0,80.0,5230.0,5310.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-07-31,20.0,75.0,5305.0,5385.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-08-01,,,5390.0,5465.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-08-02,30.0,60.0,5465.0,5525.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-08-03,20.0,85.0,5525.0,5610.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-08-04,20.0,70.0,5610.0,5680.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-08-05,30.0,75.0,5680.0,5755.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-08-06,,,5755.0,5820.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-08-07,35.0,65.0,5800.0,5885.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-08-08,20.0,75.0,5885.0,5960.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-08-09,25.0,80.0,5960.0,6040.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-08-10,35.0,75.0,6040.0,6115.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-08-11,25.0,60.0,6110.0,6175.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-08-12,25.0,60.0,6175.0,6235.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-08-13,15.0,65.0,6235.0,6300.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-08-14,20.0,65.0,6300.0,6365.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-08-15,25.0,55.0,6365.0,6420.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-08-16,30.0,25.0,6410.0,6450.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-08-17,30.0,60.0,6445.0,6505.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-08-18,25.0,40.0,6505.0,6555.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-08-19,20.0,35.0,6545.0,6585.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-08-20,20.0,40.0,6580.0,6620.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-08-21,15.0,45.0,6620.0,6665.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-08-22,20.0,35.0,6655.0,6700.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-08-23,30.0,30.0,6680.0,6730.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-08-24,25.0,15.0,6720.0,6750.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-08-25,35.0,30.0,6725.0,6775.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-08-26,25.0,35.0,6765.0,6810.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-08-27,30.0,35.0,6790.0,6845.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-08-28,30.0,30.0,6825.0,6885.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-08-29,40.0,50.0,6860.0,6925.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-08-30,40.0,40.0,6905.0,6965.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-08-31,40.0,50.0,6950.0,7015.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-09-01,30.0,25.0,6995.0,7045.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-09-02,15.0,40.0,7035.0,7085.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-09-03,25.0,25.0,7065.0,7105.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-09-04,45.0,25.0,7085.0,7130.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-09-05,40.0,15.0,7115.0,7155.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-09-06,45.0,25.0,7110.0,7170.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-09-07,40.0,15.0,7145.0,7185.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-09-08,45.0,5.0,7145.0,7190.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-09-09,35.0,25.0,7165.0,7215.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-09-10,30.0,30.0,7200.0,7245.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-09-11,40.0,5.0,7220.0,7260.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-09-12,25.0,50.0,7235.0,7300.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-09-13,20.0,45.0,7295.0,7345.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-09-14,35.0,35.0,7330.0,7380.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-09-15,35.0,40.0,7365.0,7420.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-09-16,50.0,20.0,7395.0,7445.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-09-17,40.0,50.0,7425.0,7490.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-09-18,50.0,35.0,7460.0,7525.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-09-19,40.0,40.0,7500.0,7565.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-09-20,35.0,30.0,7545.0,7595.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-09-21,35.0,55.0,7585.0,7650.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-09-22,45.0,45.0,7635.0,7700.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-09-23,40.0,60.0,7695.0,7755.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-09-24,45.0,40.0,7735.0,7795.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-09-25,50.0,35.0,7780.0,7835.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-09-26,45.0,50.0,7825.0,7880.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-09-27,45.0,35.0,7865.0,7925.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-09-28,60.0,40.0,7880.0,7955.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-09-29,60.0,25.0,7930.0,7990.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-09-30,55.0,35.0,7955.0,8015.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-10-01,30.0,45.0,8000.0,8060.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-10-02,20.0,30.0,8045.0,8090.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-10-03,35.0,15.0,8060.0,8105.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-10-04,35.0,30.0,8090.0,8140.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-10-05,45.0,35.0,8105.0,8170.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-10-06,40.0,20.0,8145.0,8190.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-10-07,25.0,25.0,8175.0,8215.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-10-08,35.0,30.0,8195.0,8250.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-10-09,25.0,40.0,8245.0,8285.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-10-10,25.0,50.0,8285.0,8335.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-10-11,50.0,20.0,8305.0,8365.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-10-12,50.0,25.0,8330.0,8385.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-10-13,45.0,40.0,8360.0,8420.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-10-14,50.0,25.0,8390.0,8450.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-10-15,35.0,35.0,8435.0,8485.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-10-16,25.0,50.0,8480.0,8530.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-10-17,35.0,45.0,8510.0,8575.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-10-18,45.0,35.0,8545.0,8610.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-10-19,40.0,55.0,8590.0,8665.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-10-20,55.0,35.0,8620.0,8700.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-10-21,60.0,35.0,8660.0,8740.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-10-22,30.0,55.0,8725.0,8790.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-10-23,50.0,50.0,8770.0,8840.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-10-24,40.0,50.0,8825.0,8890.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-10-25,45.0,35.0,8875.0,8925.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-10-26,75.0,5.0,8870.0,8945.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-10-27,55.0,60.0,8905.0,8990.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-10-28,40.0,35.0,8980.0,9025.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-10-29,,,9015.0,9055.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-10-30,35.0,,9030.0,9075.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-10-31,45.0,35.0,9040.0,9110.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-11-01,,,5700.0,9125.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-11-02,25.0,25.0,5720.0,5760.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-11-03,,,5760.0,5785.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-11-04,35.0,,5760.0,5805.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-11-05,10.0,65.0,5805.0,5870.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-11-06,35.0,30.0,5850.0,5905.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-11-07,60.0,-5.0,5850.0,5910.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-11-08,35.0,10.0,5870.0,5910.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-11-09,45.0,10.0,5870.0,5920.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-11-10,40.0,15.0,5880.0,5930.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-11-11,40.0,,5900.0,5940.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-11-12,,,5910.0,5945.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-11-13,25.0,20.0,5920.0,5955.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-11-14,20.0,30.0,5940.0,5985.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-11-15,30.0,5.0,5960.0,5995.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-11-16,50.0,0.0,5950.0,6000.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-11-17,35.0,10.0,5965.0,6005.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-11-18,30.0,15.0,5980.0,6025.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-11-19,25.0,30.0,6005.0,6045.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-11-20,20.0,-10.0,6025.0,6050.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-11-21,45.0,15.0,6000.0,6050.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-11-22,35.0,10.0,6025.0,6060.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-11-23,55.0,,6005.0,6060.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-11-24,45.0,,6025.0,6075.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-11-25,45.0,-20.0,6030.0,6075.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-11-26,,,6035.0,6065.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-11-27,,,6050.0,6085.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-11-28,,,6065.0,6100.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-11-29,,,6055.0,6100.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-11-30,,,6100.0,6105.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-12-01,,,6100.0,6105.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-12-02,,,6080.0,6105.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-12-03,,,6080.0,6110.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-12-04,,,6075.0,6125.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-12-05,,,6085.0,6115.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-12-06,20.0,10.0,6095.0,6130.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-12-07,45.0,-5.0,6085.0,6130.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-12-08,35.0,0.0,6100.0,6135.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-12-09,,,6105.0,6135.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-12-10,,,,
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-12-11,55.0,,6075.0,6130.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-12-12,50.0,-15.0,6085.0,6135.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-12-13,,,6115.0,6120.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-12-14,15.0,,6105.0,6140.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-12-15,45.0,0.0,6100.0,6145.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-12-16,50.0,0.0,6085.0,6135.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-12-17,45.0,0.0,6095.0,6140.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-12-18,55.0,-5.0,6085.0,6140.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-12-19,45.0,,6090.0,6145.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-12-20,55.0,-25.0,6090.0,6145.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-12-21,20.0,15.0,6105.0,6135.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-12-22,,,,
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-12-23,,,,
Asia/Jerusalem,Mandarin,Control,Ora,739956,Dend,2023-06-10,20.0,20.0,1980.0,2010.0
Asia/Jerusalem,Mandarin,Control,Ora,739956,Dend,2023-06-11,10.0,25.0,2000.0,2035.0
Asia/Jerusalem,Mandarin,Control,Ora,739956,Dend,2023-06-12,20.0,20.0,2015.0,2055.0
Asia/Jerusalem,Mandarin,Control,Ora,739956,Dend,2023-06-13,20.0,0.0,2035.0,2060.0
Asia/Jerusalem,Mandarin,Control,Ora,739956,Dend,2023-06-14,0.0,35.0,2055.0,2090.0
Asia/Jerusalem,Mandarin,Control,Ora,739956,Dend,2023-06-15,5.0,20.0,2085.0,2110.0
Asia/Jerusalem,Mandarin,Control,Ora,739956,Dend,2023-06-16,20.0,10.0,2095.0,2125.0
Asia/Jerusalem,Mandarin,Control,Ora,739956,Dend,2023-06-17,20.0,10.0,2100.0,2130.0
Asia/Jerusalem,Mandarin,Control,Ora,739956,Dend,2023-06-18,20.0,20.0,2115.0,2150.0
Asia/Jerusalem,Mandarin,Control,Ora,739956,Dend,2023-06-19,20.0,10.0,2135.0,2165.0
Asia/Jerusalem,Mandarin,Control,Ora,739956,Dend,2023-06-20,15.0,10.0,2150.0,2180.0
Asia/Jerusalem,Mandarin,Control,Ora,739956,Dend,2023-06-21,20.0,25.0,2160.0,2195.0
Asia/Jerusalem,Mandarin,Control,Ora,739956,Dend,2023-06-22,10.0,15.0,2190.0,2215.0
Asia/Jerusalem,Mandarin,Control,Ora,739956,Dend,2023-06-23,20.0,20.0,2205.0,2230.0
Asia/Jerusalem,Mandarin,Control,Ora,739956,Dend,2023-06-24,25.0,15.0,2220.0,2245.0
Asia/Jerusalem,Mandarin,Control,Ora,739956,Dend,2023-06-25,25.0,15.0,2230.0,2265.0
Asia/Jerusalem,Mandarin,Control,Ora,739956,Dend,2023-06-26,15.0,15.0,2250.0,2275.0
Asia/Jerusalem,Mandarin,Control,Ora,739956,Dend,2023-06-27,15.0,20.0,2265.0,2295.0
Asia/Jerusalem,Mandarin,Control,Ora,739956,Dend,2023-06-28,15.0,20.0,2285.0,2315.0
Asia/Jerusalem,Mandarin,Control,Ora,739956,Dend,2023-06-29,15.0,30.0,2310.0,2345.0
Asia/Jerusalem,Mandarin,Control,Ora,739956,Dend,2023-06-30,20.0,50.0,2345.0,2395.0
Asia/Jerusalem,Mandarin,Control,Ora,739956,Dend,2023-07-01,20.0,50.0,2385.0,2445.0
Asia/Jerusalem,Mandarin,Control,Ora,739956,Dend,2023-07-02,30.0,40.0,2425.0,2485.0
Asia/Jerusalem,Mandarin,Control,Ora,739956,Dend,2023-07-03,30.0,50.0,2470.0,2535.0
Asia/Jerusalem,Mandarin,Control,Ora,739956,Dend,2023-07-04,45.0,55.0,2510.0,2590.0
Asia/Jerusalem,Mandarin,Control,Ora,739956,Dend,2023-07-05,35.0,60.0,2570.0,2650.0
Asia/Jerusalem,Mandarin,Control,Ora,739956,Dend,2023-07-06,55.0,65.0,2620.0,2715.0
Asia/Jerusalem,Mandarin,Control,Ora,739956,Dend,2023-07-07,50.0,70.0,2685.0,2785.0
Asia/Jerusalem,Mandarin,Control,Ora,739956,Dend,2023-07-08,60.0,55.0,2745.0,2840.0
Asia/Jerusalem,Mandarin,Control,Ora,739956,Dend,2023-07-09,75.0,40.0,2790.0,2880.0
Asia/Jerusalem,Mandarin,Control,Ora,739956,Dend,2023-07-10,60.0,55.0,2840.0,2935.0
Asia/Jerusalem,Mandarin,Control,Ora,739956,Dend,2023-07-11,70.0,45.0,2895.0,2980.0
Asia/Jerusalem,Mandarin,Control,Ora,739956,Dend,2023-07-12,80.0,55.0,2930.0,3035.0
Asia/Jerusalem,Mandarin,Control,Ora,739956,Dend,2023-07-13,60.0,65.0,3000.0,3100.0
Asia/Jerusalem,Mandarin,Control,Ora,739956,Dend,2023-07-14,65.0,80.0,3065.0,3180.0
Asia/Jerusalem,Mandarin,Control,Ora,739956,Dend,2023-07-15,65.0,80.0,3145.0,3260.0
Asia/Jerusalem,Mandarin,Control,Ora,739956,Dend,2023-07-16,80.0,60.0,3215.0,3320.0
Asia/Jerusalem,Mandarin,Control,Ora,739956,Dend,2023-07-17,70.0,80.0,3280.0,3400.0
Asia/Jerusalem,Mandarin,Control,Ora,739956,Dend,2023-07-18,60.0,65.0,3365.0,3465.0
Asia/Jerusalem,Mandarin,Control,Ora,739956,Dend,2023-07-19,55.0,60.0,3435.0,3525.0
Asia/Jerusalem,Mandarin,Control,Ora,739956,Dend,2023-07-20,65.0,30.0,3490.0,3555.0
Asia/Jerusalem,Mandarin,Control,Ora,739956,Dend,2023-07-21,50.0,70.0,3540.0,3625.0
Asia/Jerusalem,Mandarin,Control,Ora,739956,Dend,2023-07-22,60.0,45.0,3595.0,3670.0
Asia/Jerusalem,Mandarin,Control,Ora,739956,Dend,2023-07-23,55.0,45.0,3640.0,3715.0
Asia/Jerusalem,Mandarin,Control,Ora,739956,Dend,2023-07-24,60.0,10.0,3670.0,3730.0
Asia/Jerusalem,Mandarin,Control,Ora,739956,Dend,2023-07-25,30.0,55.0,3710.0,3780.0
Asia/Jerusalem,Mandarin,Control,Ora,739956,Dend,2023-07-26,60.0,40.0,3745.0,3820.0
Asia/Jerusalem,Mandarin,Control,Ora,739956,Dend,2023-07-27,70.0,15.0,3770.0,3840.0
Asia/Jerusalem,Mandarin,Control,Ora,739956,Dend,2023-07-28,40.0,30.0,3800.0,3865.0
Asia/Jerusalem,Mandarin,Control,Ora,739956,Dend,2023-07-29,45.0,35.0,3840.0,3900.0
Asia/Jerusalem,Mandarin,Control,Ora,739956,Dend,2023-07-30,30.0,30.0,3875.0,3930.0
Asia/Jerusalem,Mandarin,Control,Ora,739956,Dend,2023-07-31,45.0,30.0,3900.0,3960.0
Asia/Jerusalem,Mandarin,Control,Ora,739956,Dend,2023-08-01,50.0,30.0,3930.0,3990.0
Asia/Jerusalem,Mandarin,Control,Ora,739956,Dend,2023-08-02,60.0,20.0,3950.0,4010.0
